defect_id,severity,route,role,viewport,main_sha,deployment,steps,expected,actual,evidence,acceptance_test,owner,status,fix_sha,verified
SEN-0014,P1,/,visitor,1280 and 375,4a45b89856df3104de498c7124d27b608e52b34d,dep-d9l8s8m7bikc73f9bj0g,"Load https://xeniostechnology.com; inspect hero, header, full site menu, footer; DOM-scan all anchors for login, member, admin, partner, apply terms","Per directive 8.1: Apply for Membership, Member Login, Partner or Affiliate Login, Admin Login immediately understandable, plus a discoverable portal hub for Supplier/Lab Login, Clinical Staff Login, Support",Zero of the four actions exist anywhere on the page at desktop or mobile; only Apply for Early Access -> /waitlist,"docs/release/UX_SENTINEL_VERIFICATION_LOG.md entries 2, 12, 58","Playwright: home page renders all four actions by accessible role and href at 320/375/768/1024/1440, and the portal hub exposes supplier, clinical, support entries",codex,open,,
SEN-0013,P1,/research/activate,approved member pending activation,any,4a45b89856df3104de498c7124d27b608e52b34d,dep-d9l8s8m7bikc73f9bj0g,"From a fresh browser with no review-gate cookie, open the activation email's Continue activation link (server/research/membership-activation/emails.ts:188 -> /research/activate)","The activation flow opens (directive 9.1/9.2: account access resolves through Supabase Auth, not the shared review password)","The review password gate renders; RecoveryChrome bypass in client/src/research/layout.tsx:272-274 covers only sign-in and reset-password, so the claim link dead-ends; /research/application-status gated identically; one production member is pending activation",UX_SENTINEL_VERIFICATION_LOG.md entries 49-50,Playwright: fresh-context navigation to /research/activate renders the activation surface without the review password; same for application-status per the chosen design,codex,verified-fixed,696d75b PR-166 (integrated PR-147 content plus manifest pin),live-verified 2026-07-30T21:20Z activation surface renders fresh-browser
SEN-0012,P2,/ /about /for-coaches /product /for/:slug,visitor,all,4a45b89856df3104de498c7124d27b608e52b34d,dep-d9l8s8m7bikc73f9bj0g,Load the home page; inspect the closing-section secondary CTA computed color; enumerate stylesheets for ghost-on-dark rules; grep client/src for btn-ghost-on-dark,Ghost CTA styled per the design system (paper text and border on the dark section),"Class btn-ghost-on-dark matches NO stylesheet rule (sheet defines .btn-on-dark.btn-ghost), so six CTAs on five pages render browser-default link blue rgb(0,0,238) on rgb(14,14,14): contrast 2.05, failing WCAG 4.5 and 3.0. Locations: Home.tsx:170, About.tsx:95, About.tsx:96, ForCoaches.tsx:127, IcpPage.tsx:55, Product.tsx:152",UX_SENTINEL_VERIFICATION_LOG.md entry 45,Either fix the six class strings to btn btn-ghost btn-on-dark or add a .btn-ghost-on-dark alias rule; add a guard test that every btn-* class used in JSX resolves to a stylesheet rule; visual check at 1280 and 375,codex,open,,
SEN-0006,P2,/api/health,visitor,n/a,4a45b89856df3104de498c7124d27b608e52b34d,dep-d9l8s8m7bikc73f9bj0g,GET /api/health,turnstileConfigured true in production,turnstileConfigured false: public forms run without configured bot protection,UX_SENTINEL_VERIFICATION_LOG.md entry 1,Health reports turnstileConfigured true; waitlist and sign-in submissions carry the challenge,codex,open,,
SEN-0010,P3,/concepts,visitor,1280,4a45b89856df3104de498c7124d27b608e52b34d,dep-d9l8s8m7bikc73f9bj0g,Navigate to /concepts from the full site menu,Content or no menu link (directive 10.2: no coming-soon used to avoid finishing a surface),Menu-linked page renders only a heading and one line: New concepts are on the way (129 chars); also present in sitemap.xml,UX_SENTINEL_VERIFICATION_LOG.md entries 34 and 48,Publish content or unlink and remove from sitemap,codex,open,,
SEN-0011,P3,/disclosures,visitor,1280,4a45b89856df3104de498c7124d27b608e52b34d,dep-d9l8s8m7bikc73f9bj0g,Compare document.title across marketing routes,Title convention Disclosures comma xenios,"Title is Disclosures - xenios, the only page breaking the comma convention",UX_SENTINEL_VERIFICATION_LOG.md entry 34,Title matches the site convention,codex,open,,
SEN-0015,P2,docs/research-commerce/PEPTIDE_CATALOG_BUILD_NOTES.md,n/a,n/a,4a45b89856df3104de498c7124d27b608e52b34d,n/a,Open the file at lines 82-98 on main or the PR 145 branch,Directive 7.19 and 21.2: no supplier cost in the repo; repository private; sensitive history purged,"Exact supplier wholesale costs for all fifteen peptide SKUs (PEP-001 through PEP-015) are committed in a doc on the currently public repository, verbatim matches to the confidential wholesale source",Adversarially verified by two independent agents,"Repo made private, file scrubbed or restricted, history purge per 21.2, verification that normal refs no longer reach the costs",codex,open,,
SEN-0016,P2-founder-decision,/about,visitor,all,4a45b89856df3104de498c7124d27b608e52b34d,dep-d9l8s8m7bikc73f9bj0g,"Read client/src/pages/About.tsx line 8 (live on production for over a month, commit 041c2c7 Strengthen about page credibility)","Directive 7.11 literal text: the restricted roster names (including Dr. Wesley Nahm) must not be displayed publicly, including marketing copy","The public About page presents Dr. Wesley Nahm, MD as CMO and Medical Director. Genuine tension: he is the long-disclosed CMO across the canonical corpus, and an executive bio differs from exposing the care-delivery provider roster, but the directive names him explicitly. ONE FOUNDER DECISION NEEDED: exempt the executive bio on /about, or remove the name from public marketing surfaces",Verified on main and the PR 145 branch; refuter confirmed the literal presence and the deliberate-publication history,"Whichever way Samuel decides: either a recorded exemption in the founder decision register, or the About page edited and a test asserting no restricted roster name in public bundles",samuel-then-codex,verified-fixed,8368034 PR-146,live-verified 2026-07-30T20:50Z About page clean
SEN-0017,P1-blocks-PR144-merge,shared/research/catalog/peptide-pricing-model.ts,n/a,n/a,PR-144 branch claude/f5/pricing-model,n/a,Compare overrideTargetCents per SKU (lines 401-901) against directive 7.2; read expansionTargetFromMarketReference lines 2210-2220 and roundingStepCents 500; read the x9 ladder test peptide-pricing-model.test.ts:333-344,"Directive 7.2 locked prices (P001 335.00 ... P015 247.50) computed as ROUND(wholesale*2.5,2), exact cents, no x9 or nearest-5 rounding; founder-confirmed presentations canonical","All 15 member price targets encode the superseded 2026-07-29 market-led values (P001 109 vs 335.00, P002 149 vs 347.50, P003 199 vs 335.00, P004 189 vs 397.50, P005 109 vs 137.50, P006 69 vs 95.00, P007 79 vs 197.50, P008 49 vs 107.50, P009 59 vs 137.50, P010 69 vs 117.50, P011 59 vs 112.50, P012 109 vs 222.50, P013 129 vs 247.50, P014 149 vs 297.50, P015 149 vs 247.50); tests PIN the forbidden x9 and nearest-5 ladders as invariants; presentation canon is inverted (stale supplier label is the SKU identity). MITIGATION VERIFIED: activation is fail-closed, all 12 gates block, memberPriceCentsForDisplay returns null for all 70 rows, no wholesale leaks, so nothing drifted is chargeable today. The correct locked prices are derivable in-repo: the branch's peptide-catalog wholesale cents match the directive on all 15",Adversarially verified: three independent P1/P2 confirmations,"Before merge: encode the locked values and formula (or relabel the import as superseded historical model), un-pin the x9 and nearest-5 tests, correct the price_approval gate text to the cost-multiple rule, flip presentation canon to founder-confirmed, add a supersession note against the 2026-07-30 directive",codex,open-blocks-merge,,
SEN-0018,P2,shared/research/catalog/peptide-catalog.ts,n/a,n/a,c8ffce400a1338d71f56aa413203df9c11c969f1,n/a,Read computeCustomerAmountCents and computeMatrixAmountCents on main,"Directive 7.1: final_customer_price = ROUND(verified_supplier_unit_cost * 2.5, 2), exact cents",Pre-existing main-side formulas do not reproduce the locked table either: computeCustomerAmountCents uses a 1.80 multiplier and computeMatrixAmountCents uses 2.5x plus a 99 floor plus round-UP-to-5 (which would turn P002 347.50 into 350.00). The locked formula currently appears nowhere in the repository,"Found during the PR 144 review, corroborated against branch and main","Implement the locked formula once, referenced by catalog and pricing modules; regression test that all 15 P-SKUs compute to the directive table to the cent",codex,open,,
SEN-0009,P2-routing-note,/care/prescriptions /care/eligibility /care/consent /care/appointments,visitor,n/a,4a45b89856df3104de498c7124d27b608e52b34d,dep-d9l8s8m7bikc73f9bj0g,"Read the auth_required branch of the four care pages (CarePrescriptionsPage.tsx:81, EligibilityPendingPage.tsx:186, CareConsentPendingPage.tsx:104, CareAppointmentsPage.tsx:116); note eligibility-ui.test.ts:70 pins the href",Signed-out care visitors route to the canonical member sign-in chosen by the directive (9.2 Supabase Auth; 8.2 adds /login),"CTAs point at /research/sign-in, currently unreachable in production only because the care API 503s before auth; when Care enables, the CTAs surface. Legitimate under 9.2 but must match the final /login design and the pinning test must move with it",UX_SENTINEL_VERIFICATION_LOG.md entries 20 and 58,When Care enables: signed-out care pages route to the canonical sign-in and back to the care page after auth,codex,open-routing-decision,,
SEN-0019,P1,/research/apply,visitor,1280 native,d31e1c8be3e4109166635635cb3d757bd87e38a7,post-revert deploy uptime 308s at 16:48Z,Load /research/apply in production minutes after the PR 158 revert deploy; hard reload; inspect body text and console,The password gate (pre-PR-156 behavior) or the approved public application UI,"Completely blank render: empty innerText, #root mounts about 1.3KB of empty markup, zero console errors; /research and /research/sign-in render correctly on the same deployment",Live browser evidence plus DOM inspection; PR 158 comment 2026-07-30T16:55Z,"Playwright: /research/apply renders non-empty content in every posture (gated, public, disabled)",codex-website5,verified-fixed,28f5fd1 PR-154,live-verified 2026-07-30T17:05Z
SEN-0020,P1-founder-decision,shared/research/catalog/peptide-catalog.ts,n/a,n/a,e4fd78076f55686eab59d1d479dc13cf5093a2a0,n/a,Load the peptide catalog and read variant.disputedBySignedSupplierMasterStrength across all 70 variants; compare catalog strength against the 2026-07-30 directive table,Catalog strengths match the founder-confirmed presentations in directive 7.2,"TWELVE of 70 variants carry a disputedBySignedSupplierMasterStrength value where the SIGNED SUPPLIER MASTER agrees with the directive and the CATALOG does not. Example PEP-001/P001: catalog ships 15 mg / 15 mg; directive and signed master both say 5 mg BPC-157 + 5 mg TB-500 (10 mg total). Same pattern on P003 and P007-P015. Also P009 catalog 500 mg vs directive 100 mg, and P002 catalog price 350.00 vs directive 347.50 (the round-to-5 path). Every one of the 70 variants sits at priceStatus draft_pending_formula_confirmation with FOUR competing price columns (computed 1.80x, priorApprovedMatrix which matches the directive, legacyPublished, signedSupplierMaster)",Extracted live from the catalog module 2026-07-31T01:55Z; full 70-row export at C:/Users/sboad/projects/XENIOS_PEPTIDE_CATALOG_FULL.csv,Founder confirms the authoritative strength per SKU; then a test asserts catalog strength equals the confirmed presentation and no variant retains a disputed flag without a recorded decision,samuel-then-codex,decision-required,,
SEN-0021,P2,shared/research/catalog/peptide-catalog.ts,n/a,n/a,944d8cef96778851bef5452e89bd687460ed6d85,n/a,Read the merged product-control-price-resolver.ts failure codes; grep peptide-catalog.ts for CUSTOMER_PRICE_MULTIPLIER_NUMERATOR and MATRIX_PRICE_FLOOR_CENTS,"After PR #184 centralized price resolution on approved Product Control rows the superseded in-code formulas are removed or provably unreachable, and a priced variant cannot carry an unresolved strength dispute","PR #184 merged as 944d8ce and is architecturally sound (price authority moved out of code into approved AdminProductPrice rows, ambiguity refuses rather than first-match-wins). TWO RESIDUALS: (1) both superseded formulas REMAIN live in the catalog module (CUSTOMER_PRICE_MULTIPLIER 1.80x and MATRIX_PRICE_FLOOR_CENTS 2.5x-plus-floor-plus-round-to-500), so a future direct importer can still select the wrong one; (2) the resolver has 12 failure codes and NONE validates strength, so a variant carrying disputedBySignedSupplierMasterStrength can still be priced authoritatively (SEN-0020 remains open beneath it)",Reviewed pre-merge on PR #184 comment 2026-07-31T03:30Z; verified post-merge on main 944d8ce,Delete or provably isolate the two superseded formulas once the resolver is the sole consumer; add a variant_strength_disputed failure code so a contested unit cannot be priced,codex,open,,
SEN-0022,P3,/admin,visitor,n/a,6b5532cad,production,curl -sI https://xeniostechnology.com/admin and compare with /admin/research,The admin sign-in surface carries the same private-page headers as its sibling: no-store plus x-robots-tag noindex nofollow,"/admin returns Cache-Control public max-age=0 and NO x-robots-tag at all; /admin/research returns Cache-Control no-store AND x-robots-tag noindex nofollow. researchPageGate (server/research/index.ts:145) applies the private headers only when isResearchAdminPath matches, which covers /admin/research and its descendants but never the bare /admin tree. /admin therefore relies on the robots.txt Disallow line alone, which a non-compliant crawler ignores",Header probe 2026-07-31T05:50Z; headers are directly observable so this is verified not inferred; earlier audit note in 19_DEPLOYMENT_EVIDENCE.md recorded the same asymmetry,"curl -sI /admin returns x-robots-tag noindex nofollow and Cache-Control no-store, matching /admin/research",codex,open,,
SEN-0023,P1,"/api/research/{plans,documents,media,questions,tracker,assessment,blueprint,agreements,telegram} + PUT /profile","member (signed in via Member Login, no shared review password)",all,600288d,production xeniostechnology.com,"1. Sign in through Member Login without ever entering the shared /research review password (the flow the founder directive puts on the MAIN home page). 2. Browser therefore holds a member JWT but no xr_access cookie. 3. Load the Xenios 30 plan page, documents, tracker, questions, media, assessment, or blueprint.","The member reaches their own member-guarded content; requireActiveMember decides, since it is the stronger guard (verifies JWT + active status + billing parity).","The /api/research gateway wall answers FIRST with 401 {ok:false,message:'Access required.'} and requireActiveMember never runs. 28 member-guarded routes are unreachable. The Xenios30 page repaired in PR #193 renders its failure state for exactly this member. USER-FACING BLAST RADIUS (verified by hand, 2026-07-31T08:25Z): 8 member pages cannot load for this member: Assessment.tsx (agreements, assessment), Blueprint.tsx (blueprint), Documents.tsx (documents), PrivacyControls.tsx (agreements), Xenios30.tsx (plans), Xenios90.tsx (plans), Questions.tsx (questions, telegram via adapters/guides.ts guidesPaths), Tracker.tsx (tracker via adapters/tracker.ts). PARTIAL FIX VERIFIED at e6a64b9 (PR #195): /plans/xenios30 read and the acknowledge write now pass the wall; 24 routes and 6 pages remain walled (documents, media, questions, tracker, assessment, blueprint, agreements, telegram, PUT /profile). DOCUMENTS FULLY CLOSED 4/4 at 198cf13 (verified: signed download passes, bare and malformed-sig still walled). Remaining: 20 routes across 5 pages (assessment, blueprint, media, questions, telegram, tracker, agreements) plus the PUT/DELETE verb gap.","Wall-vs-guard discriminator on production, no credentials needed. WALLED (wall answered): GET /api/research/{tracker,questions,media,telegram,documents,blueprint,assessment,plans/xenios30,plans/xenios90} all return 'Access required.'. CONTROLS (guard answered, bypass working): GET /api/research/{member/products,profile,capabilities} return 'Sign in required.'. Root cause in server/research/index.ts: the wall is satisfied only by isAuthed() = the xr_access cookie, which is minted at exactly ONE call site (setSessionCookie at :237, the shared review-password endpoint). Member login never mints it. The two bypasses do not cover these paths: DOWNSTREAM_MEMBER_GUARDED_READ_PATHS = {/capabilities,/profile,/profile/sensitive} (GET/HEAD only) and MEMBER_AUTHED_PREFIXES = [/member,/activation,/catalog,/orders] (bearer required). Every one of the 28 routes is already correctly guarded with requireActiveMember, so this fails CLOSED: it is a functional lockout, not a data exposure.","A test asserting that for every route registered with requireActiveMember, a request carrying a valid member bearer token and NO xr_access cookie is not answered by the gateway wall. Anti-vacuity: the test must fail if a route is removed from the bypass sets.","Codex (server/research/index.ts, single owner)",partially_fixed,"e6a64b9 (plans), 4b0269a + 832bee6 (documents)",2026-07-31T11:00Z production
SEN-0024,P3,public JS bundle (/assets/index-*.js),visitor (anonymous),all,018f04b,production xeniostechnology.com,1. Load https://xeniostechnology.com/ as an anonymous visitor. 2. Fetch the single referenced bundle /assets/index-CLkb7zNH.js. 3. Extract the lazy-chunk filenames it embeds.,The public bundle should not enumerate the names of unlaunched or restricted product surfaces.,"The main bundle embeds 13 lazy-chunk filenames derived from source module names, disclosing the existence and scope of restricted surfaces to any anonymous visitor: CarePrescriptionsPage, CarePharmacyOrdersPage, CareAppointmentsPage, CareConsentPendingPage, EligibilityPendingPage, Admin, adminx-section. No product or compound names leak, only route inventory.","Fetched the public bundle and extracted chunk names with no credentials. Scope note: this is route-existence metadata, NOT the peptide catalog. The catalog clause of the directive PASSES, verified separately in the same pass: all 48 catalog display names tested against all 14 publicly fetchable JS files (main bundle plus 13 chunks) returned ZERO matches.","A build assertion that emitted chunk filenames are opaque (content hash only, no source-derived basename). Anti-vacuity: it must fail if a chunk is emitted carrying a recognisable page name.",Codex (build config),open,,
