"id","scenario","evidence","provenance","status","limitation","runtime"
"R001","Cross-owner order denied","evidence/resume-cross-owner-denial.txt","native real guard/service; synthetic owners and memory order","PASS","No production RLS claim","02d525b UI; unchanged native guard/order source at c4ea8a9"
"R002","Correct owner sees seeded order","evidence/resume-owner-positive.txt","native real guard/service; synthetic owner","PASS","One seeded order","02d525b UI; unchanged native guard/order source at c4ea8a9"
"R003","Admin starts processing","evidence/resume-admin-processing.txt","native real admin guard/order service","PASS","No physical fulfillment","02d525b UI; unchanged native guard/order source at c4ea8a9"
"R004","Admin records tracking","evidence/resume-admin-tracking.txt","native real admin guard/order service","PASS","Synthetic tracking only","02d525b UI; unchanged native guard/order source at c4ea8a9"
"R005","Admin marks order shipped","evidence/resume-admin-shipped.txt","native real admin guard/order service","PASS","Order-level transition; package row not qualified","02d525b UI; unchanged native guard/order source at c4ea8a9"
"R006","Valid signed status token","evidence/resume-valid-status.txt","actual HMAC/status route; synthetic row","PASS","Read-only status fixture","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R007","Expired signed status token","evidence/resume-expired-status.txt","actual HMAC/status route; synthetic row","PASS","No external recovery delivery","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R008","Approved status controls","evidence/resume-approved-status.txt","actual status projection; synthetic approved row","PASS","Claim submission not executed in browser","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R009","Active account status controls","evidence/resume-active-status.txt","actual status projection; synthetic active row","PASS","Seeded active state, not a claim-consumption event","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R010","Courtesy stall preserves accepted result","evidence/resume-courtesy-stall.txt","actual bundle; isolated provider capture","PASS","Team accepted, courtesy bounded at 2 seconds","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R011","Team provider timeout bounded","evidence/resume-team-timeout.txt","actual bundle; isolated provider capture","PASS","Unknown acceptance; draft retained; 10-second bound","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R012","Provider response lost after acceptance","evidence/resume-provider-response-lost.txt","actual bundle; isolated provider capture","PASS","Receipt unknown, not definitive failure","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R013","Provider retry replays acceptance","evidence/resume-provider-retry-accepted.txt","actual bundle; isolated provider capture","PASS","Unchanged payload; no second team acceptance","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R014","Browser response lost after acceptance","evidence/resume-browser-response-lost.txt","actual bundle; CDP response interruption; capture","PASS","Response blocked after provider acceptance","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R015","Retry rate limit retains draft","evidence/resume-retry-throttled.txt","actual route rate limit; isolated capture","PASS","Existing 5 per 10-minute limit","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R016","Browser retry accepted without duplicate","evidence/resume-browser-response-retry-accepted.txt","actual bundle; isolated provider replay","PASS","Both email keys replay; no new acceptance","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R017","Canonical documents sign-in return","evidence/resume-secure-documents-return.txt","actual c4ea8a9 browser bundle","PASS","Signed-out gate only","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R018","Mobile validation and keyboard focus","evidence/resume-mobile-inquiry-validation.txt","actual c4ea8a9 browser bundle","PASS","390px sampled inquiry flow","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R019","Responsive 390/768/1440","evidence/resume-responsive.json","actual c4ea8a9 browser bundle","PASS","Inquiry page sample, not all routes","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R020","Slow-network pending state","evidence/resume-slow-inquiry-pending.txt","CDP 800ms latency and bandwidth limits","PASS","Submitting disabled; retained draft","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R021","Slow-network completion","evidence/resume-slow-inquiry-accepted.txt","actual bundle; isolated provider capture","PASS","Acceptance only","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R022","Duplicate inquiry replay","evidence/resume-duplicate-inquiry.txt","actual bundle; isolated provider capture","PASS","No duplicate captured acceptance","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R023","200 percent visual scale","evidence/resume-visual-zoom-200.png","CDP page visual scale","PASS","Pinch-style scale, not desktop CSS reflow","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R024","Desktop browser zoom qualification","evidence/resume-desktop-zoom-attempt.txt","browser keyboard attempt and DOM measurements","NOT RUN","Keyboard shortcut did not change measured width or pixel ratio; no 200-percent reflow claim","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R025","Second owner history isolated","evidence/resume-other-owner-history.txt","real account/history projection and guard; native synthetic rows","PASS","No seeded order or assisted requests visible; unavailable sources disclosed","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R026","Correct owner history visible","evidence/resume-correct-owner-history.txt","real account/history projection and guard; native synthetic rows","PASS","One order and two assisted requests; no production RLS claim","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R027","Interrupted tab session recovers","evidence/resume-session-reopened.txt","native synthetic session; real account gate","PASS","Close tab and cold reopen retains authorized owner history","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R028","Explicit sign-out revokes cold access","evidence/resume-session-revoked.txt","native synthetic session; real account gate","PASS","Cold account navigation returns to sign-in","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R029","Status-purpose cannot claim","evidence/sql-claims-qualification.json","real HTTP token validator and production dependency; actual local SQL","PASS","401; no membership grant","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R030","Expired claim cannot grant access","evidence/sql-claims-qualification.json","real signed-token validator and actual local SQL","PASS","401 even with correctly signed expired token","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R031","Recovery-purpose session cannot claim","evidence/sql-claims-qualification.json","real production verifySignIn and actual local SQL","PASS","409; provider session is synthetic, exact-match verified","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R032","Different signed-in owner cannot claim","evidence/sql-claims-qualification.json","real claim ownership check and actual local SQL","PASS","409; no foreign grant","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R033","Approved owner claims in browser","evidence/sql-claim-after.txt","actual SPA, member claim route, production dependency and candidate SQL","PASS","One local active member; billing remains not_started","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R034","Consumed claim replay is idempotent","evidence/sql-claims-qualification.json","actual HTTP claim route and SQL replay","PASS","One member and one welcome event; no duplicate","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R035","Normal member denied admin approval","evidence/sql-admin-approval.json","canonical requireSupabaseAdmin and actual SQL","PASS","403; browser roles cannot grant admin","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R036","Admin approval queues local claim","evidence/sql-admin-approval.json","canonical guard, approval registrar, production dependency and actual SQL","PASS","Queued is not delivered","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
"R037","Admin approval retry replays","evidence/sql-admin-approval.json","actual SQL idempotency behind real admin guard","PASS","No duplicate approval notification","c4ea8a9111fcdf7b66cff7db42347e7d38a3fefa"
