cta_id,route,location,label,exact_meaning,destination_or_action,prerequisite,server_write,confirmation,notification,status_return_path,replaces_current,mobile_390,desktop_1440,page_spec
CTA-H01,all,header,Sign In,Sign in to existing account,/sign-in,None,None,N/A,N/A,Account,Sign in; Member sign in; Get access (partially),Visible without menu,Visible,G
CTA-H02,all,header,Start Care,Open Care request form,/care/schedule,None,None,N/A,N/A,N/A,Start Care request (sticky mobile); Request Early Access (as header primary),Visible filled button,Visible filled button,G
CTA-H03,all,header nav,For Individuals,Navigate,/individuals (panel: Start Care; Explore Products; How research orders work; Check Status),None,None,N/A,N/A,N/A,Health (nav),In menu,Visible,G
CTA-H04,all,header nav,For Practices,Navigate,/practices,None,None,N/A,N/A,N/A,(none - practices had no nav item),In menu,Visible,G
CTA-H05,all,header nav,Partners,Navigate,/partners,None,None,N/A,N/A,N/A,Partners (Research nav); /partners->/ecosystem redirect,In menu,Visible,G
CTA-H06,all,header nav,How It Works,Navigate,/how-it-works,None,None,N/A,N/A,N/A,How It Works (coach); How it works (Research),In menu,Visible,G
CTA-H07,all,header nav,Quality,Navigate,/quality,None,None,N/A,N/A,N/A,Quality (Research),In menu,Visible ≥1280,G
CTA-H08,all,header nav,About,Navigate,/about,None,None,N/A,N/A,N/A,About (coach + Research),In menu,Visible ≥1280,G
CTA-H09,all,header nav,Careers,Navigate,/careers,None,None,N/A,N/A,N/A,Careers,In menu,Visible ≥1280,G
CTA-H10,all,menu,Check Status,Look up a submitted order/request,/status,Reference + email,Read only,N/A,N/A,/status,Open order history; Resume/track,In menu,In For Individuals panel,P-17
CTA-P101,/,hero,Start Care,Open Care request form,/care/schedule,None,None,N/A,N/A,N/A,Request Early Access (hero),First viewport,Hero,P-01
CTA-P102,/,hero,Explore Products,Product index,/products,None,None,N/A,N/A,N/A,See How It Works (hero),First viewport,Hero,P-01
CTA-P103,/,hero helper,Sign In,Sign in,/sign-in,None,None,N/A,N/A,N/A,—,Under hero,Under hero,P-01
CTA-P104,/,hero helper,Check Status,Status lookup,/status,None,None,N/A,N/A,N/A,—,Under hero,Under hero,P-01
CTA-P105,/,selector: Care,Start Care,Care request form,/care/schedule,None,None,N/A,N/A,N/A,Start Care request (chooser),Stacked tile,3x2 grid,P-01
CTA-P106,/,selector: products,Explore Products,Product index,/products,None,None,N/A,N/A,N/A,Order for Research (chooser),Stacked tile,Grid,P-01
CTA-P107,/,selector: practice,For Practices,Practices page,/practices,None,None,N/A,N/A,N/A,Business or organization (chooser),Stacked tile,Grid,P-01
CTA-P108,/,selector: refer,Become a Partner,Partner page,/partners,None,None,N/A,N/A,N/A,Partner program (chooser),Stacked tile,Grid,P-01
CTA-P109,/,selector: supplier,Submit Inquiry,Go to supplier inquiry,/suppliers#inquiry,None,None (navigates),N/A,N/A,N/A,Supplier access (chooser),Stacked tile,Grid,P-01
CTA-P110,/,selector: account,Sign In,Sign in,/sign-in,None,None,N/A,N/A,N/A,Sign in; Activate approved setup (moves to /sign-in),Stacked tile,Grid,P-01
CTA-P111,/,Care section,Start Care,Care request form,/care/schedule,None,None,N/A,N/A,N/A,—,Section end,Section end,P-01
CTA-P112,/,Research section,Explore Products,Product index,/products,None,None,N/A,N/A,N/A,—,Section end,Section end,P-01
CTA-P113,/,Practices band,For Practices,Practices page,/practices,None,None,N/A,N/A,N/A,—,Band,Band,P-01
CTA-P114,/,Partners band,Become a Partner,Partner page,/partners,None,None,N/A,N/A,N/A,—,Band,Band,P-01
CTA-P115,/,final band,Start Care / Explore Products / For Practices,As above,As above,None,None,N/A,N/A,N/A,Apply for Early Access; See How It Works (closing band),Stacked,Row,P-01
