XENIOS PRODUCTION MIGRATION HISTORY — AUTHORIZED LINKED CLI EXPORT
Project: yvzeduaxbwgcwllhywff
Observed UTC: 2026-09-05T17:41:52.924387+00:00
Completed UTC: 2026-09-05T17:41:55.143908+00:00
Repository: teamxenios/xenios-website
Git HEAD: 1bd9431b0eac6d12a255832fe2f676f07e2a5027
Branch: codex/xenios-seth-revenue-launch-20260905
CLI version: 2.116.0
Command: supabase migration list --linked
Exit code: 0
CLI stdout format: complete JSON migration table; all rows rendered below.
Original stdout SHA256: c64eaec4ed4312521d231fa7b27f896efd58218a040bcbaa1254830389aad73b
Original stderr SHA256: b9977cb727ae28f6dfc5ee83a4ca928c7a9f42b11c4757f73dd5a17e85681a5f
Issued production migration/configuration/data-write commands: none. No db push, db pull, migration repair, manual SQL, activation or deploy.

LOCAL          | REMOTE         | TIME (UTC)
---------------|----------------|--------------------
               | 20260724163934 | 2026-07-24 16:39:34
               | 20260724170132 | 2026-07-24 17:01:32
               | 20260724171056 | 2026-07-24 17:10:56
               | 20260724185842 | 2026-07-24 18:58:42
               | 20260724185858 | 2026-07-24 18:58:58
               | 20260725210633 | 2026-07-25 21:06:33
               | 20260725210826 | 2026-07-25 21:08:26
               | 20260725210945 | 2026-07-25 21:09:45
               | 20260725225920 | 2026-07-25 22:59:20
               | 20260725231517 | 2026-07-25 23:15:17
               | 20260726011239 | 2026-07-26 01:12:39
               | 20260726020513 | 2026-07-26 02:05:13
               | 20260726020534 | 2026-07-26 02:05:34
               | 20260726020554 | 2026-07-26 02:05:54
               | 20260726025009 | 2026-07-26 02:50:09
               | 20260726045307 | 2026-07-26 04:53:07
               | 20260726064113 | 2026-07-26 06:41:13
               | 20260726080248 | 2026-07-26 08:02:48
               | 20260726093600 | 2026-07-26 09:36:00
               | 20260726112848 | 2026-07-26 11:28:48
20260726143000 |                | 2026-07-26 14:30:00
               | 20260726214102 | 2026-07-26 21:41:02
20260726214500 |                | 2026-07-26 21:45:00
               | 20260726215603 | 2026-07-26 21:56:03
20260727120000 | 20260727120000 | 2026-07-27 12:00:00
20260727160000 | 20260727160000 | 2026-07-27 16:00:00
20260727200000 |                | 2026-07-27 20:00:00
20260728010000 |                | 2026-07-28 01:00:00
20260728020000 |                | 2026-07-28 02:00:00
20260729000000 |                | 2026-07-29 00:00:00
20260729100000 |                | 2026-07-29 10:00:00
20260801120000 | 20260801120000 | 2026-08-01 12:00:00
20260804120000 |                | 2026-08-04 12:00:00
20260804121000 |                | 2026-08-04 12:10:00
20260804122000 |                | 2026-08-04 12:20:00
20260804123000 |                | 2026-08-04 12:30:00
20260804130000 |                | 2026-08-04 13:00:00
20260804140000 |                | 2026-08-04 14:00:00
20260804150000 |                | 2026-08-04 15:00:00
20260804160000 |                | 2026-08-04 16:00:00
20260807193000 | 20260807193000 | 2026-08-07 19:30:00
20260807200000 |                | 2026-08-07 20:00:00
20260808100000 | 20260808100000 | 2026-08-08 10:00:00
20260809120000 | 20260809120000 | 2026-08-09 12:00:00
20260809130000 |                | 2026-08-09 13:00:00
20260810120000 |                | 2026-08-10 12:00:00
20260810130000 |                | 2026-08-10 13:00:00
20260811120000 |                | 2026-08-11 12:00:00
20260812120000 |                | 2026-08-12 12:00:00
20260813120000 |                | 2026-08-13 12:00:00
               | 20260814040633 | 2026-08-14 04:06:33
               | 20260814041723 | 2026-08-14 04:17:23
               | 20260814042047 | 2026-08-14 04:20:47
               | 20260814043320 | 2026-08-14 04:33:20
               | 20260814051903 | 2026-08-14 05:19:03
               | 20260814054754 | 2026-08-14 05:47:54
               | 20260814060630 | 2026-08-14 06:06:30
               | 20260814061243 | 2026-08-14 06:12:43
20260814061500 |                | 2026-08-14 06:15:00
               | 20260814110250 | 2026-08-14 11:02:50
               | 20260814173019 | 2026-08-14 17:30:19
20260815150000 |                | 2026-08-15 15:00:00
20260819170000 |                | 2026-08-19 17:00:00
20260819170100 |                | 2026-08-19 17:01:00
20260819170200 |                | 2026-08-19 17:02:00
               | 20260819203614 | 2026-08-19 20:36:14
20260820190000 |                | 2026-08-20 19:00:00
               | 20260820224041 | 2026-08-20 22:40:41
20260821170000 |                | 2026-08-21 17:00:00

SCREENED STDERR:
Initialising login role...
Connecting to remote database...
