uat_id,persona,route,viewports,scenario,steps,expected,required_evidence_level,page_spec
U-G01,All,every public route,390/768/1440,No horizontal overflow,Load each route; measure document scrollWidth vs viewport,scrollWidth <= viewport width at all three widths,exact-build browser,G
U-G02,All,every public route,1440,Keyboard reachability,Tab through page,Every CTA reachable; visible focus ring; skip link works,exact-build browser,G
U-G03,All,every public route,390/1440,Controlled vocabulary,Extract all button/primary-link labels,Every label in copy deck §1 or §12; zero retired labels,exact-build browser + unit test,G
U-G04,All,every public route,1440,Claim ledger compliance,Grep rendered text for do-not-publish claims (72 hours; one business day; state-licensed compounding pharmacy; third-party tested; $30 per month; Research Rep; Early Access; passwordless; Catalogue),Zero matches unless ledger status verified/approved,exact-build browser + unit test,G
U-G05,All,every public route,390,Shared chrome,Load each route,Same header and footer component; Sign In + Start Care visible without opening menu,exact-build browser,G
U-G06,All,every public route,1440,Legal line,Read footer,"Exactly '© 2026 Xenios Technologies, Inc.'",exact-build browser,G
U-G07,All,every public route,390,Brand consistency,Read header/title,Only the D-01 brand; no 'Xenios Technology'; no Eon/Infinity unless D-01 says so,exact-build browser,G
U-G08,All,token/auth pages,1440,Indexing,Read meta robots,noindex on auth/token/status pages; public pages indexable only after D-01,source + browser,G
U-001,J-01 consumer,/,390,30-second comprehension,Fresh session; tester has 30s; no scrolling past section 2,Tester identifies Start Care; Explore Products; For Practices; Become a Partner; Sign In; Check Status,human UAT on exact build,P-01
U-002,J-01,/,390,Hero first viewport,Load at 390x844,H1; sub; Start Care; Explore Products visible without scroll,exact-build browser,P-01
U-003,All,/,390/768/1440,Audience selector,Click each of 6 tiles,Each goes to its documented destination; no tile submits anything,exact-build browser,P-01
U-004,J-04,/,1440,No coach content on root,Scan root above footer,No coach-workspace hero/modules/agent names,exact-build browser,P-01
U-005,All,/,1440,Product section fallback,Block product API,Pathway tiles render; no error text; page otherwise intact,browser fixture,P-01
U-006,All,/workspace,1440,Workspace preserved,Load /workspace and old coach URLs,Former homepage content renders; Join Waitlist works; old URLs resolve,exact-build browser,—
U-020,J-02,/products,390/1440,Card contract,Inspect every card,Exactly one badge; one CTA matching badge; variant shown; price or 'Price confirmed in your quote'; never $0,browser fixture with fixture publication set,P-03
U-021,J-02,/products/:slug,1440,Research product page,Open an approved research product,Research-use note present; Request Order prefills order request with product+variant,browser fixture,P-04
U-022,J-02,/products/:slug,1440,Care-only product,Open a Care-only product by URL,Start Care only; no price; no Request Order,browser fixture,P-04
U-023,J-02,/products/:slug,1440,Unavailable/unknown slug,Open unavailable and nonexistent slugs,Unavailable copy / not-found copy + Explore Products; no dead end,browser fixture,P-04
U-024,J-02,/products,1440,Empty publication set,Zero approved products,Empty-state copy with Start Care and Sign In,browser fixture,P-03
U-030,J-01,/care/schedule,390,Care request accepted,Submit valid request (fixture),Confirmation with CARE ref; contact method echoed; not-intake line; email line reflects actual email result,SQL/local rehearsal + browser fixture,P-05
U-031,J-01,/care/schedule,390,Care closed,Readiness returns closed,Closed line + Contact Support + Retry; form not shown as open,browser fixture,P-05
U-032,J-01,/care/schedule,390,Server rejection,Endpoint returns error,'Nothing was saved'; form preserved,browser fixture,P-05
U-033,J-01,/care/schedule,390,Timeout / lost response,Delay response past client timeout,Uncertain copy; no success claim; form preserved,browser fixture,P-05
U-034,J-01,/care/schedule,390,Duplicate submit,Double-click submit,One request stored; button disabled after first click,SQL/local rehearsal,P-05
U-035,J-01,/care/schedule,390,Back/refresh after submit,Submit then back and refresh,No duplicate submission; confirmation or clean form,browser fixture,P-05
U-036,J-01,/care,1440,Care claims,Read all Care pages,No unverified claims (C-005 C-012 C-015) unless approved,exact-build browser,P-05
U-040,J-02,order request,390,Order request accepted,Submit valid request (fixture),Confirmation with XRR ref; 'No payment has been taken',SQL/local rehearsal + browser fixture,P-06
U-041,J-02,order status,390,Status vocabulary,Walk fixture order through all 15 internal statuses,Customer sees only the 7 §13 labels; Continue Order only when action required,browser fixture,P-06
U-042,J-02,order status,390,Payment proof ≠ paid,Submit proof,Shows 'Verifying payment'; never 'Paid' until verification,SQL/local rehearsal,P-06
U-043,J-02,any,1440,Commerce stays dark,Inspect product and order flows,No add-to-cart or card payment; /api/health commerceEnabled=false in fixture,exact-build browser + source,P-06
U-044,J-02,order request,390,Research-use acknowledgment required,Submit without acknowledgment,Blocked with clear message,browser fixture,P-06
U-045,J-02,order status,390,Wrong reference/email,Check Status with mismatched pair,Neutral not-found copy; no data leak,browser fixture,P-17
U-046,J-02,order status,390,Closed tab return,Close tab; reopen via email link or Check Status,Status visible,browser fixture,P-17
U-047,J-02,EA pages,1440,No 'Early Access' labels,Scan customer-facing ordering screens,No 'Early Access'/'passwordless'/'Catalogue',exact-build browser,P-06
U-060,J-04 Stephen,/practices + sub-pages,1440,Stephen comprehension,Tester reads only /practices pages; answers case-study Q1-Q13,All 13 answered correctly from page text,human UAT on exact build,P-07
U-061,J-04,/practices,390,Practice inquiry accepted,Submit inquiry (fixture provider accepts),Confirmation: inquiry not account; no response-time promise; reference only if durable record exists,browser fixture,P-07
U-062,J-04,/practices,390,Inquiry uncertain,Provider times out,Uncertain copy; draft preserved; no reference,browser fixture,P-07
U-063,J-04,/practices,390,Inquiry duplicate,Resubmit unchanged within 24h,No duplicate team email (idempotency),local rehearsal,P-07
U-064,J-04,/practices,1440,No ordering-for-clients,Scan practice pages,No control or copy offering to order for clients; 'doesn't place orders for clients' present,exact-build browser,P-07
U-065,J-04,/practices,1440,Commission wording,Scan for rates/cadence,No numeric rates/payout cadence unless D-07 approved; 'Care never earns commission' present,exact-build browser,P-08
U-066,J-06,/practices/care,1440,Clinical authority,Read page,No wording implying practice approves treatment,exact-build browser,P-10
U-067,J-05,org invitation,1440,Staff invitation (future),Owner invites staff; staff accepts,Role-limited workspace,SQL/local rehearsal (when mounted),P-09
U-068,J-07,/r/:code,390,Referral link with V1 off,Open referral link,Neutral page or Home; no error; can proceed,browser fixture,—
U-069,J-07,order request,390,Unmatched code,Enter unknown referral code,Order proceeds; code stored as unmatched claim; no block,local rehearsal,P-06
U-070,J-08,/partners,390,Program closed,Load /partners and /partners/apply signed out,Closed-state copy + Submit Inquiry; NO reviewer-password wall,exact-build browser,P-11
U-071,J-08,/partners,1440,Four distinct actions,Inspect page,Submit Inquiry; Apply (only if open); Activate Account; Sign In are separate buttons,exact-build browser,P-11
U-072,J-08,/partners/apply,1440,Program open (fixture flags),Signed-in member applies,Application confirmation; partner + admin emails queued,SQL/local rehearsal,P-11
U-073,J-08,/partners,1440,Branding,Scan,'Research Rep' absent,exact-build browser,P-11
U-074,J-08,/research/partners/dashboard,1440,Unapproved user,Signed-in non-partner opens dashboard,Clear 'not a partner yet' state + Become a Partner; no data,browser fixture,P-11
U-075,J-09,/partners#strategic,390,Strategic inquiry,Submit,Confirmation 'doesn't create an account or approve anything',browser fixture,P-12
U-076,J-10,/suppliers,390,Supplier inquiry,Submit,Confirmation 'doesn't create supplier access',browser fixture,P-13
U-077,J-11,/careers/:slug,390,Apply,Click Apply,Phase 2: confirmation with ref; fallback: 'Apply by email' labelled mailto,exact-build browser,P-14
U-080,J-03,/sign-in,390,Sign-in success,Valid fixture user,Lands on account,SQL/local rehearsal + browser fixture,P-15
U-081,J-03,/sign-in,390,Wrong password,Invalid credentials,Generic mismatch copy; no enumeration,browser fixture,P-15
U-082,J-03,/sign-in,390,No dead links,Click every link on page,All resolve; 'View application information' absent,exact-build browser,P-15
U-083,J-03,/sign-in,1440,Care patient note,Read page,Care secure-link note present,exact-build browser,P-15
U-084,J-12,/sign-in,1440,Founder routing,Admin fixture signs in,Server routes to command center,SQL/local rehearsal,P-15
U-085,J-03,/research/reset-password,390,Reset neutral,Request reset for unknown and known email,Identical response,local rehearsal,P-15
U-086,J-03,/activate,390,No token,Open /activate without token,Explains activation needs emailed link + Contact Support,browser fixture,P-16
U-087,J-03,/activate,390,Invalid token,Tampered token,Expired/invalid copy; no account existence leak,local rehearsal,P-16
U-088,J-03,/activate,390,Expired / consumed token,Use expired and already-used tokens,"Correct copy; consumed → 'already active, Sign In'",local rehearsal,P-16
U-089,J-03,/activate,390,Valid token,Valid fixture claim,Set password → 'Your account is active',SQL/local rehearsal,P-16
U-090,J-03,/status,390,Found,Valid ref+email,Status page with §13 label,browser fixture,P-17
U-091,J-03,/status,390,Not found,Invalid pair,Neutral not-found,browser fixture,P-17
U-092,J-03,/status,1440,Signed-in shortcut,Signed in,Link to account orders,browser fixture,P-17
U-093,J-01,/status,390,Care reference,Enter CARE ref,Explains Care team updates directly,browser fixture,P-17
U-094,J-03,/status,390,Slow network,Throttle,Loading state; no double submit,browser fixture,P-17
U-100,J-12,/admin,1440,Non-admin denied,Member session hits admin APIs,401/403; UI denies,local rehearsal,P-21
U-101,J-12,/admin,1440,Recovery session denied,Recovery-purpose session,Denied,local rehearsal,P-21
U-102,J-12,/admin/research/command-center,1440,Business inquiry lane,Submit practice inquiry (Phase 2),Item appears with owner/due/state,SQL/local rehearsal,P-21
U-103,J-12,/admin,1440,No client-side bypass,Tamper client state,Server still denies,local rehearsal,P-21
U-104,J-12,public chrome,1440,Admin unlinked,Scan public pages,No link to /admin,exact-build browser,P-21
