route_type,domains,method,path,component,file,line,authorization_trace,authorization_signals,feature_flags,persistence_signals
api,admin,GET,/api/admin/analytics,,server/routes.ts,562,file_signal_present,requireSupabaseAdmin|verifyTurnstile,NEXT_PUBLIC_RESEARCH_COMMERCE_ENABLED,
api,admin,GET,/api/admin/bookings,,server/routes.ts,553,file_signal_present,requireSupabaseAdmin|verifyTurnstile,NEXT_PUBLIC_RESEARCH_COMMERCE_ENABLED,
api,admin,GET,/api/admin/export,,server/routes.ts,634,file_signal_present,requireSupabaseAdmin|verifyTurnstile,NEXT_PUBLIC_RESEARCH_COMMERCE_ENABLED,
api,admin,GET,/api/admin/loi,,server/routes.ts,544,file_signal_present,requireSupabaseAdmin|verifyTurnstile,NEXT_PUBLIC_RESEARCH_COMMERCE_ENABLED,
api,admin,PATCH,/api/admin/loi/:id/status,,server/routes.ts,585,file_signal_present,requireSupabaseAdmin|verifyTurnstile,NEXT_PUBLIC_RESEARCH_COMMERCE_ENABLED,
api,admin,GET,/api/admin/me,,server/routes.ts,531,file_signal_present,requireSupabaseAdmin|verifyTurnstile,NEXT_PUBLIC_RESEARCH_COMMERCE_ENABLED,
api,admin,GET,/api/admin/notes,,server/routes.ts,599,file_signal_present,requireSupabaseAdmin|verifyTurnstile,NEXT_PUBLIC_RESEARCH_COMMERCE_ENABLED,
api,admin,POST,/api/admin/notes,,server/routes.ts,613,file_signal_present,requireSupabaseAdmin|verifyTurnstile,NEXT_PUBLIC_RESEARCH_COMMERCE_ENABLED,
api,admin,GET,/api/admin/research/activation/bridge/checklist,,server/research/membership-activation/routes.ts,943,file_signal_present,requireMember|requireSupabaseAdmin,,
api,admin,PUT,/api/admin/research/activation/bridge/checklist,,server/research/membership-activation/routes.ts,950,file_signal_present,requireMember|requireSupabaseAdmin,,
api,admin,GET,/api/admin/research/activation/bridge/settings,,server/research/membership-activation/routes.ts,927,file_signal_present,requireMember|requireSupabaseAdmin,,
api,admin,PUT,/api/admin/research/activation/bridge/settings,,server/research/membership-activation/routes.ts,934,file_signal_present,requireMember|requireSupabaseAdmin,,
api,admin,GET,/api/admin/research/activation/esign/member/:memberId,,server/research/membership-activation/routes.ts,1079,file_signal_present,requireMember|requireSupabaseAdmin,,
api,admin,GET,/api/admin/research/activation/esign/member/:memberId/packet.zip,,server/research/membership-activation/routes.ts,1100,file_signal_present,requireMember|requireSupabaseAdmin,,
api,admin,GET,/api/admin/research/activation/esign/request/:requestId/download,,server/research/membership-activation/routes.ts,1088,file_signal_present,requireMember|requireSupabaseAdmin,,
api,admin,POST,/api/admin/research/activation/esign/request/:requestId/resend,,server/research/membership-activation/routes.ts,1118,file_signal_present,requireMember|requireSupabaseAdmin,,
