"CTA ID","environment/build","route","UI location","persona","exact label","likely user expectation","actual destination/action","prerequisites","server write expected/observed","persistence contract","confirmation","notification requirements","operator owner/queue","return/status path","applicable scenario IDs","mobile result","desktop result","evidence","finding IDs"
"CTA-candidate-home-mobile-L3","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Skip to content","Label implies navigation; individual expectation review NOT RUN","""#site-main""","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","""#site-main""","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L8","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Join","Label implies navigation; individual expectation review NOT RUN","/waitlist","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/waitlist","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L11","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","button; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Dismiss announcement","Label implies interaction; individual expectation review NOT RUN","Control observed; action contract NOT RUN","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","NOT VERIFIED","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L13","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","xenios","Label implies navigation; individual expectation review NOT RUN","/","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L16","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Sign in","Label implies navigation; individual expectation review NOT RUN","/research/sign-in","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/research/sign-in","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L18","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Get access","Label implies navigation; individual expectation review NOT RUN","/research/access-hub#account-access","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/research/access-hub#account-access","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L20","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","button; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Open full site menu","Label implies interaction; individual expectation review NOT RUN","Control observed; action contract NOT RUN","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","NOT VERIFIED","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L25","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Request Early Access","Label implies navigation; individual expectation review NOT RUN","/waitlist","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/waitlist","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L27","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","See How It Works","Label implies navigation; individual expectation review NOT RUN","/how-it-works","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/how-it-works","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
"CTA-candidate-home-mobile-L39","LOCAL BASELINE 0574264562f33fe40572b1d9976f4700bef9c83e","/","link; candidate-home-mobile.txt","See evidence fixture/scenario; not individually qualified","Continue","Label implies navigation; individual expectation review NOT RUN","/research/sign-in","Not individually verified","NOT RUN unless scenario explicitly records submission","NOT VERIFIED","See scenario results; otherwise NOT RUN","NOT VERIFIED","NOT VERIFIED","/research/sign-in","Map through evidence filename to SCENARIO_RESULTS.csv","NOT INDIVIDUALLY RUN","NOT INDIVIDUALLY RUN","evidence/candidate-home-mobile.txt",""
