Group ID,Family,Channel,Product,Normalized Specification,Dosage Form,Current Retail Price,Price Display,Planned Catalog Status,Recommended Action,Selected Supplier,Quality / Regulatory Notes
GRP-0001,503A Clinical Formulations,Clinical / Provider Only,5-Amino-1Mq,5-AMINO-1MQ 5MG/ML (5ML),Compounded Vial / Liquid,200,$200.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0002,503A Clinical Formulations,Clinical / Provider Only,Anastrozole,ANASTROZOLE 0.25MG CAPSULE,Capsule,1.875,$1.88,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0003,503A Clinical Formulations,Clinical / Provider Only,Anastrozole,ANASTROZOLE 0.5MG CAPSULE,Capsule,2.5,$2.50,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0004,503A Clinical Formulations,Clinical / Provider Only,Anastrozole,ANASTROZOLE 1MG CAPSULE,Capsule,3.75,$3.75,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0005,503A Clinical Formulations,Clinical / Provider Only,Anastrozole Tablet,ANASTROZOLE TABLET 1MG,Tablet,3.75,$3.75,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0006,503A Clinical Formulations,Clinical / Provider Only,Aod-9604,AOD-9604 1.2MG/ML (6MG/5ML),Compounded Vial / Liquid,200,$200.00,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0007,503A Clinical Formulations,Clinical / Provider Only,Aod-9604,AOD-9604 300MCG TROCHE,Troche,6.25,$6.25,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0008,503A Clinical Formulations,Clinical / Provider Only,Aod-9604 + MOTS-C + Tesamorelin + Ipamorelin,AOD-9604/MOTS-C/TESAMORELIN/IPAMORELIN 1.2MG-2MG-2MG-2MG/ML (5ML),Compounded Vial / Liquid,312.5,$312.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0009,503A Clinical Formulations,Clinical / Provider Only,Ara 290,ARA 290 6MG/ML (5ML),Compounded Vial / Liquid,200,$200.00,New clinical formulary item,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
GRP-0010,503A Clinical Formulations,Clinical / Provider Only,Ascorbic Acid,ASCORBIC ACID 500MG/ML INJ. (10ML),Injectable Solution,62.5,$62.50,Clinical formulation expansion,"Keep in the Care / Telemedicine pathway only. Review provider demand, state coverage, prescription workflow, BUD, and pharmacy terms before adding.",Optimal Balance Pharmacy,503A; sterile batches stated to undergo endotoxin and sterility testing; USP <797>/<800> statements in catalog
