source_row_id,canonical_product_id,canonical_product,exact_variant_id,exact_sku,exact_strength,exact_presentation,planned_price_cents,currency,truth_state,website_action,public_visibility,checkout_eligible,candidate_disposition,blocker_codes
1,PEP-001,BPC-157 + TB-500 Research Blend,R360-BPC157_TB500-15MG_15MG-VIAL,R360-BPC157_TB500-15MG_15MG-VIAL,15 mg / 15 mg,Vial,29000,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
2,PEP-002,BPC-157 + TB-500 + GHK-Cu Research Blend,R360-BPC157_TB500_GHKCU-10MG_10MG_50MG-VIAL,R360-BPC157_TB500_GHKCU-10MG_10MG_50MG-VIAL,10 mg / 10 mg / 50 mg,Vial,21900,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|component_order_confirmation_unresolved|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
3,PEP-003,KLOW Research Blend,R360-TB500_BPC157_GHKCU_KPV-5MG_5MG_10MG_5MG-VIAL,R360-TB500_BPC157_GHKCU_KPV-5MG_5MG_10MG_5MG-VIAL,5 mg / 5 mg / 10 mg / 5 mg,Vial,29000,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
4,PEP-004,Thymosin Alpha-1 + KPV + LL-37 Research Blend,R360-THYMOSINALPHA1_KPV_LL37-5MG_5MG_5MG-VIAL,R360-THYMOSINALPHA1_KPV_LL37-5MG_5MG_5MG-VIAL,5 mg / 5 mg / 5 mg,Vial,34500,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_strength_documentation_pending|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
5,PEP-005,CJC-1295 + Ipamorelin Research Blend,R360-CJC1295_IPAMORELIN-5MG_5MG-VIAL,R360-CJC1295_IPAMORELIN-5MG_5MG-VIAL,5 mg / 5 mg,Vial,10900,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_strength_documentation_pending|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
6,PEP-005,CJC-1295 + Ipamorelin Research Blend,R360-CJC1295_IPAMORELIN-20MG-VIAL,R360-CJC1295_IPAMORELIN-20MG-VIAL,20 mg,Vial,26500,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
7,PEP-006,PT-141 Research Material,R360-PT141-10MG-VIAL,R360-PT141-10MG-VIAL,10 mg,Vial,5900,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_strength_documentation_pending|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
8,PEP-007,Tesamorelin Research Material,R360-TESAMORELIN-10MG-VIAL,R360-TESAMORELIN-10MG-VIAL,10 mg,Vial,10900,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
9,PEP-007,Tesamorelin Research Material,R360-TESAMORELIN-20MG-VIAL,R360-TESAMORELIN-20MG-VIAL,20 mg,Vial,21000,USD,request_access,REQUEST_ACCESS,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|presentation_supplier_confirmation_pending|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|supplier_fill_required|unresolved_dispute_confirmation
10,PEP-008,Gonadorelin Research Material,R360-GONADORELIN-5MG-VIAL,R360-GONADORELIN-5MG-VIAL,5 mg,Vial,9500,USD,pending_documentation,HELD_PENDING_GATES,Member/gated request access or held,false,hidden_draft_review_only,checkout_source_no|coa_pending|cold_chain_review_pending|documentation_coa_lot_identity_strength_pending|endotoxin_status_unverified|exact_product_image_pending|expiration_unconfirmed|fulfillment_unconfirmed|identity_test_unverified|inventory_unconfirmed|lot_missing|price_approval_pending|purity_test_unverified|shipping_requirements_pending|sterility_status_unverified|strength_confirmation_unresolved|supplier_fill_required|unresolved_dispute_confirmation
