route,family,status,directive_section,roles,notes
/,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/about,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/*,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/activation-bridge,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/activation-checklist,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/activation-queue,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/activation-readiness,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/activation-reconciliation,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/applications,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/applications/:id,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/audit,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/blueprint-review,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/capabilities,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/commerce-queues,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/esign,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/fulfillment,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/guides,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/guides/:id,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/inventory,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/members,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/members/:id,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/orders,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/orders/:id,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/partners,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/partners/:id,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/plans,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/plans/:id,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/privacy,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/product-configuration,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/product-requests,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/product-requests/:id,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/products,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/products/:id,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/questions,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/questions/:id,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/required-inputs,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/admin/research/security,admin,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/agents,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/argos,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/book,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/care,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/care/*,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/care/appointments,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/care/consent,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/care/eligibility,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/care/pharmacy,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/care/prescriptions,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/careers,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/careers/:slug,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/careers/innovative-product-builder,care,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/compliance,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/concepts,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/contact,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/developers,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/disclosures,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/early-interest,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/ecosystem,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/enterprise,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/faq,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/for-clients,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/for-coaches,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/for-practitioners,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/for/:slug,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/how-it-works,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/investors,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/kairos,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/manifesto,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/mvps,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/network,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/ontology,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/partners,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/press,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/privacy,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/product,marketing,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/*,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/activate,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/application-status,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/apply,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/assessment,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/blueprint,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/cart,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/checkout,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/diagnostics,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/documents,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/documents-center,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/education,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/goals,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/goals/:slug,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/guides,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/guides/:slug,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/membership,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/metabolic-care,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/orders,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/orders/:id,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/privacy,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/product-requests,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/product-requests/new,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/products,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/products/:slug,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/profile,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/questions,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/referrals,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/security,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/storage,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/subscriptions,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/supplements,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/support,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/tracker,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/xenios-30,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/member/xenios-90,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/apply,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/campaigns,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/commissions,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/compliance,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/conversions,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/dashboard,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/events,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/leads,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/links,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/onboarding,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/organizations,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/payouts,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/resources,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/security,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/support,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/partners/training,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/privacy,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/reset-password,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
/research/sign-in,research,EXISTS,current-main,visitor or per-manifest,registered at c8ffce4
