offer_id,exact_name,exact_format_variant,category,current_price_authority,public_price_allowed,availability,care,research_order,assisted_order,unavailable,account_required,clinician_review_required,current_cta,target_cta,fulfillment_authority,documentation_coa_status,source_of_truth,unresolved_issue
canonical:mov_017febfdb0edf96366f4,Epithalon,EPITHALON 20 mg,Research Peptides & Materials / Lyophilized Vial,current_master_retail candidate $159.38 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0283),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_02ca369a8834ebeb0b3b,Tirzepatide,TIRZEPATIDE 20 mg,Research Peptides & Materials / Lyophilized Vial,current_master_retail candidate $371.70 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0356),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_04f750af7277d98b7ad9,ARA-290,ARA-290 10 mg,Research Peptides & Materials / Lyophilized Vial,current_master_retail candidate $195.00 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0257),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_082a1d9c8a0d21e4a5c9,CJC-1295 (No DAC) + Ipamorelin,CJC-1295 (No DAC) 5 mg + IPAMORELIN 5 mg,Research Peptides & Materials / Lyophilized Vial,current_master_retail candidate $79.00 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0269),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_0881f51f4947326bf1e0,Retatrutide,40 mg,Research Peptides & Materials / Lyophilized Vial,seth_recommended_retail candidate $329.00 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0327),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_09db3e866424b64994d3,BPC-157,BPC-157 5 mg,Research Peptides & Materials / Lyophilized Vial,current_master_retail candidate $33.50 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0264),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_0c4a5438cc87ab9d85b6,Retatrutide,10 mg,Research Peptides & Materials / Lyophilized Vial,seth_recommended_retail candidate $150.00 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0323),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_0d00b80820b69cc39796,CJC-1295 No DAC,10 mg,Research Peptides & Materials / Lyophilized Vial,seth_recommended_retail candidate $99.00 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0270),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_0d82ac64c7e39678212c,Ss-31,SS-31 50 mg,Research Peptides & Materials / Lyophilized Vial,current_master_retail candidate $250.00 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0344),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_0db878384f6f3f42fc1a,Retatrutide,RETATRUTIDE 5 mg,Research Peptides & Materials / Lyophilized Vial,current_master_retail candidate $175.00 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0329),public copy draft; price pending_approval; supplier/COA/landed cost not verified
canonical:mov_0efd31ea72138e78d999,DSIP,10 mg,Research Peptides & Materials / Lyophilized Vial,seth_recommended_retail candidate $69.00 (pending_approval); live Product Control member price not inspected by this lane,PENDING D-05 - candidate retail is pending_approval; until approved show 'Price confirmed in your quote',Assisted order (human-reviewed request; no direct purchase),NO,YES (via assisted request),YES,NO,No (passwordless request + reference); Sign In optional to see history,NO,Early Access / assisted request: 'Request an order' at /research/early-access/order-request (entry is confusing; see CUX-03),Request Order,Supplier NOT verified (vendor RFQ: zero responses); human release after payment verification,Not verified (no vendor COA/lot responses),docs/production-completion/catalog/catalog-reconciliation.json (GEN-GRP-0278),public copy draft; price pending_approval; supplier/COA/landed cost not verified
