finding_id,first_detected,last_verified,main_sha,deployment_sha,environment,severity,category,route,role,org_context,viewport,browser,preconditions,repro_steps,expected,actual,user_consequence,console_error,network_evidence,artifact_path,likely_owner,likely_file_area,proposed_fix,regression_test_required,status,fix_pr,verification_result
SEN-0001,2026-07-29T23:21Z,2026-07-29T23:47Z,517c2191cfaef2d76d7ceeea27648be311bae2d1,unknown-recent-restart-2230Z,production,retracted,founder-directive-entry-links,/,visitor,none,1280x720,chromium-embedded,none,"RETRACTED 2026-07-29T23:47Z. Founder clarified: the four entry links belong on /research, not the main home page, and the main site must not link the hidden research area at all. The observed state (no login links on the main home) is CORRECT behavior. Do NOT add entry links to the main home page.","","","",none,GET / 200,UX_SENTINEL_VERIFICATION_LOG.md,none,none,"None. Superseded by SEN-0007 and SEN-0008.",no,retracted,,superseded-by-SEN-0007-SEN-0008
SEN-0002,2026-07-29T23:22Z,2026-07-30T00:05Z,517c2191cfaef2d76d7ceeea27648be311bae2d1,unknown-recent-restart-2230Z,production,P1,journey-blocker-membership,/research/apply,visitor,none,1280x720,chromium-embedded,no review password cookie,"Navigate directly to /research/apply and /research/partners while signed out","Membership application reachable per the four-entries directive","Both render the review password gate. UPDATE 00:05Z: verified this split is DELIBERATE design, not drift: layout.tsx:272-274 routes sign-in and reset-password into RecoveryChrome BEFORE the gate check so existing members can always recover access, while everything else waits on the review gate","A visitor cannot start a membership application until the review gate opens or apply is moved in front of it",none,GET /research/apply 200 gate page,UX_SENTINEL_VERIFICATION_LOG.md,release-leader workstream 2,client/src/research/layout.tsx gate routing,"Fold into the SEN-0008 design decision: where the four entries (including Apply) sit relative to the review gate is one deliberate choice for the leader and founder",yes,open-merged-into-SEN-0008-decision,,
SEN-0003,2026-07-29T23:22Z,2026-07-29T23:22Z,517c2191cfaef2d76d7ceeea27648be311bae2d1,unknown-recent-restart-2230Z,production,P1,directive-gap-care,/care,visitor,none,1280x720,chromium-embedded,none,"Navigate to /care","Per 2026-07-29 directive: a complete live Care surface","A deliberate CARE PENDING page: six modules all NOT YET AVAILABLE, fail-closed, honest emergency boundary, no console errors","No Care journey can start; page itself is polished and honest, so this is a directive gap not an execution defect",none,GET /care 200,UX_SENTINEL_VERIFICATION_LOG.md,release-leader workstream 6,client care routes + server/care,"Build the live Care surface per directive; keep the fail-closed prerequisites as narrow per-action controls with founder decision records",yes,open-directive-gap,,
SEN-0004,2026-07-29T23:23Z,2026-07-29T23:23Z,517c2191cfaef2d76d7ceeea27648be311bae2d1,unknown-recent-restart-2230Z,production,P1,directive-gap-clinical,/clinical,visitor,none,1280x720,chromium-embedded,none,"Navigate to /clinical; grep App.tsx for clinical routes","Per 2026-07-29 directive: a live Clinical surface for clinicians, coordinators, clinical admin, members","404 page; no clinical route registered anywhere in the client router","No clinical workspace exists in any form",none,GET /clinical renders NotFound,UX_SENTINEL_VERIFICATION_LOG.md,release-leader workstream 6,client/src/App.tsx (new clinical tree),"Stand up the clinical route tree and workspaces per directive",yes,open-directive-gap,,
SEN-0005,2026-07-29T23:24Z,2026-07-29T23:24Z,517c2191cfaef2d76d7ceeea27648be311bae2d1,unknown-recent-restart-2230Z,production,P1,directive-gap-commerce,catalog-wide,member,none,n/a,n/a,none,"GET /api/health; read shared/research/catalog/brand-catalog.ts and docs/research-commerce/brand-catalog-notes.md on origin/main","Per 2026-07-29 directive: every approved active product or service has a real transaction route","commerceEnabled false in production health; all 911 rows resolve DISPLAY_ONLY; buildProduct throws at module load if any row resolves to a purchase mode; 873 rows NEEDS_SUPPLIER_DOCUMENTATION","Zero purchasable products or services anywhere; every commerce journey is impossible",none,GET /api/health 200 commerceEnabled:false,UX_SENTINEL_VERIFICATION_LOG.md,release-leader workstream 5,shared/research/catalog/offer-readiness.ts + commerce flag,"Replace the global block with per-row readiness plus founder decision records; enable commerce flag when leader authorizes",yes,open-directive-gap,,
SEN-0006,2026-07-29T23:19Z,2026-07-29T23:19Z,517c2191cfaef2d76d7ceeea27648be311bae2d1,unknown-recent-restart-2230Z,production,P2,security-bot-protection,/api/health,visitor,none,n/a,n/a,none,"GET /api/health","turnstileConfigured true in production","turnstileConfigured false","Public forms (waitlist, sign-in, application once public) run without configured bot protection",none,GET /api/health 200,UX_SENTINEL_VERIFICATION_LOG.md,release-leader workstream 7,server env config TURNSTILE keys,"Configure Turnstile keys in production env",no,open,,
SEN-0007,2026-07-29T23:45Z,2026-07-30T00:05Z,517c2191cfaef2d76d7ceeea27648be311bae2d1,unknown-recent-restart-2230Z,production,P1,hidden-area-disclosure,site-wide shared layout,visitor,none,1280x720 and 375x812,chromium-embedded,none,"Load https://xeniostechnology.com; scan all anchors with href starting /research; open the full site menu; adversarially verified source sweep (23-agent workflow)","Per founder directive 2026-07-29: zero links to /research anywhere on the main marketing site (Research is a hidden destination)","Three user-visible disclosures on every marketing page, all driven by TWO data lines: client/src/lib/nav.ts:18 (primaryNav, renders the desktop header link via Navbar.tsx:84-97, lg+ viewports) and client/src/lib/nav.ts:35 (menuGroups Product group, renders BOTH the full-site menu overlay via Navbar.tsx:172-190 at all viewports AND the footer Product column via Footer.tsx:43-44). Navbar and Footer mount via PageShell on all 28 marketing pages. Static assets are clean: zero research mentions in public/sitemap.xml, public/llms.txt, public/robots.txt","The hidden research area is advertised to every visitor and crawler of the main site",none,GET / 200; DOM anchor scan; workflow verdicts CONFIRMED x3,UX_SENTINEL_VERIFICATION_LOG.md,release-leader workstream 2,client/src/lib/nav.ts lines 18 and 35,"Delete the two data lines nav.ts:18 and nav.ts:35; header, menu overlay, and footer are all data-driven so no component changes; verifiers found no test pinning a Research nav link",yes Playwright assertion that no anchor on marketing routes targets /research,open,,
SEN-0010,2026-07-30T01:18Z,2026-07-30T01:18Z,4a45b89856df3104de498c7124d27b608e52b34d,unknown,production,P3,empty-page,/concepts,visitor,none,1280x720,chromium-embedded,none,"Navigate to /concepts from the full site menu","Concept content or no menu link","Page renders only a heading and the line New concepts are on the way (129 chars of main text)","A menu-linked page is an empty shell; low stakes but a soft Coming Soon panel",none,GET /concepts 200,UX_SENTINEL_VERIFICATION_LOG.md,release-leader workstream 2,client/src/pages Concepts,"Either publish concept content or unlink /concepts from the site menu until it has content",no,open,,
SEN-0011,2026-07-30T01:17Z,2026-07-30T01:17Z,4a45b89856df3104de498c7124d27b608e52b34d,unknown,production,P3,copy-consistency,/disclosures,visitor,none,1280x720,chromium-embedded,none,"Compare document.title across marketing routes","Title follows the site convention: Disclosures, xenios","Title is Disclosures - xenios (hyphen separator; every other page uses the comma convention)","Minor brand inconsistency in tab titles and search snippets",none,n/a,UX_SENTINEL_VERIFICATION_LOG.md,release-leader workstream 2,client/src/pages Disclosures SEO title,"Change the title to the comma convention",no,open,,
SEN-0009,2026-07-30T00:00Z,2026-07-30T00:05Z,517c2191cfaef2d76d7ceeea27648be311bae2d1,unknown-recent-restart-2230Z,production,P2-latent-P1-on-care-enable,hidden-area-disclosure-latent,/care/prescriptions /care/eligibility /care/consent /care/appointments,visitor,none,n/a,n/a,"Care capability enabled (currently disabled, API returns 503 care_disabled before auth)","Source: the auth_required branch of four care pages renders a primary CTA Link href=/research/sign-in labelled Sign in securely: CarePrescriptionsPage.tsx:81, EligibilityPendingPage.tsx:186, CareConsentPendingPage.tsx:104, CareAppointmentsPage.tsx:116. Today the server checks the care capability BEFORE auth (server/care/access.ts:40-57) and returns 503, so the branch is unreachable and visitors see the disabled card","No care surface links the hidden /research area","Latent: the moment Care is enabled (workstream 6), every signed-out visitor to these four public care routes gets a primary button into the hidden /research area. Also client/src/care/eligibility-ui.test.ts:70 PINS href=/research/sign-in, so CI will fight the fix unless the test changes too. The raw /research/sign-in string already ships in the public JS chunk","Hidden-area disclosure will surface site-wide on care pages exactly when Care goes live",none,live probe: GET /api/care/appointments 503 care_disabled,UX_SENTINEL_VERIFICATION_LOG.md,release-leader workstream 6,client/src/care four pages plus eligibility-ui.test.ts:70,"Repoint the four auth_required CTAs to a care-native sign-in destination (decision needed: what is the correct signed-out entry for Care?) and update the pinning test, as part of Care enablement, BEFORE the capability flag flips",yes,open,,
