id,event,trigger_route,on_screen_confirmation,reference,customer_email,operator_alert,operator_queue,durable_record,status_path,current_state_c4ea8a9,required_change,owner_of_next_step,retry_idempotency
N-01,Care request accepted,/care/schedule -> POST /api/care/access-request,YES (copy deck §6),CARE-XXXXXXXX,YES confirmation email,YES internal alert,/admin/research/care-requests,YES loi_submissions row,Care team contacts via chosen method (no self-serve lookup - Q-13),EXISTS; copy promises 'one business day',Remove unverified timing (C-012); echo contact method; email line conditioned on actual send result,Care team,Existing (line refuses when storage or email not ready)
N-02,Care request - operator obligation,same,N/A,CARE-XXXXXXXX,N/A,YES,care-requests queue,YES,admin status,EXISTS,Status vocabulary aligned with customer Care labels (copy deck §13),Care team,N/A
N-03,Research order request (assisted) submitted,/research/early-access/order-request -> POST assisted-orders,YES,XRR-########-##########,YES research.assisted_order.submitted.customer,YES operator email,Assisted orders lane (command center),YES,/research/early-access/order-request/:ref,EXISTS; status shows raw codes,Map to 7 customer labels (§13); prefill product+variant from product page,Operations,Outbox event keys
N-04,Order status changed (quote/payment/action needed),server status transition,YES on status page,XRR ref,YES status_changed.customer,Conditional,Assisted orders lane,YES,status page / account orders,EXISTS,Continue Order CTA only when server says customer action required,Customer or operations per status,Outbox
N-05,Payment proof submitted,payment step,YES 'Verifying payment',order ref,YES (EA flow) / status email (assisted),YES payment review,Payment review lane,YES,status page,EXISTS (EA flag-dependent),Copy: 'We verify every payment by hand' (C-023),Operations (named admin with verification grant),Outbox
N-06,Payment verified or rejected,admin verification,YES status,order ref,YES,N/A,—,YES,status page,EXISTS (EA emails flag-dependent; commerce receipts gated by RESEARCH_COMMERCE_RECEIPTS_ENABLED),Verify which emails actually send for assisted orders in production (audit: external delivery NOT RUN),Operations,Outbox
N-07,Order shipped / tracking added,fulfilment,YES status,order ref,YES tracking email,N/A,—,YES,status page / account,EXISTS; copy includes 72-hour claim,Remove 72-hour claim (C-010),Operations,Outbox
N-08,General contact message,/contact or /support form -> POST /api/contact,YES (accepted/uncertain),NONE today,Courtesy email best effort (2s),Team email (awaited),NONE,NO (email only),None,EXISTS (repaired AUD-001),Phase 2: durable record + reference + queue item; until then no reference shown,Founder inbox,Content-hash idempotency keys (24h)
N-09,Business inquiry (practice / partner-interest / strategic / supplier),/practices /partners /suppliers forms -> POST /api/contact,"YES (distinct: 'inquiry, not an account')",NONE today -> Phase 2 INQ-XXXXXXXX,Courtesy email best effort,Team email with [type] prefix,NONE today -> Business inquiries lane,NO today -> YES Phase 2,Confirmation says 'we'll contact you'; no lookup,GAP (UX doc P1-02/03/06; CUX-08),Phase 2: store inquiry (type; owner; due date; state inquiry_received) reusing existing storage pattern (loi_submissions-style) and outbox; add command-center lane; no second email system,Founder / COO (Q-14),Keep contact idempotency; add durable dedupe on content hash
N-10,Partner application submitted,/partners/apply -> POST /api/research/partner/apply,YES,partner application id,YES partner application received (queued),YES admin,Partner review,YES (when enabled),Partner workspace next-action panel,BUILT-DARK (commerce flag + gate),Open only by decision; page shows closed state otherwise,Founder,Outbox
N-11,Account approved -> activation link,admin approval / claim issuance,N/A,claim token,YES approved/claim emails,N/A,—,YES,/activate,EXISTS (members claim); org invitations send direct (not outbox),Standard activation copy (§11); consider routing org invitation emails through outbox (integrator),Recipient,Outbox (claim) / direct (org)
N-12,Account activated / claim success,/activate,YES 'Your account is active',—,YES account_claim_success,N/A,—,YES,Sign In,EXISTS,—,—,Outbox
N-13,Career application,/careers/:slug,Today: none (mailto),None,None,None,None,NO,None,GAP (CUX-16),H-01 Phase 2: durable application + receipt + founder lane; reuse recruiting-mail receipt kind,Founder,Outbox or recruiting-mail
N-14,Coach workspace waitlist join,/workspace/waitlist -> POST /api/waitlist/quick,YES,—,Per existing waitlist behaviour,Per existing,Classic admin waitlist,YES,—,EXISTS,Unify verbs to 'Join Waitlist' (CUX-15),Founder,Existing
N-15,Password reset requested,/research/reset-password,YES neutral,—,YES Supabase email,N/A,—,Supabase,Sign In,EXISTS,Keep neutral non-enumerating copy,User,Rate-limited
N-16,Care support message,/care/support -> POST /api/care/contact,YES,—,Per existing,YES,Care,Per existing,—,EXISTS,Branding per D-01 ('Xenios' not 'Xenios Health' unless decided),Care team,Existing
N-17,Referral captured / attributed,/r/:code or typed code,Recipient sees neutral page,—,None to recipient,None,Referral lifecycle (admin),YES when V1 enabled,Partner dashboard counts,BUILT-DARK,No UI promise until enabled,—,Signed cookie
