"Scenario ID","CTA/journey IDs","environment/build","identity","token state","data/availability state","viewport/browser","steps","expected outcome","actual outcome","request/result evidence","stored/event reference","screenshot/trace references","status","limitation","finding ID","retest build/result","provenance"
"S001","Homepage chooser","LOCAL 0574264","signed out","none","public","Chrome; initial actual dimensions not recorded","Home > Get access > partner program","Clear intent and inquiry boundary","Chooser and partner destination visible","candidate-home-390.txt; candidate-access-hub-mobile.txt; candidate-partners-mobile.txt","none","candidate-home-390.png","OBSERVED","All chooser CTAs not individually qualified","","Not retested on repair; unrelated code unchanged","Historical evidence; see environment/build and original receipt"
"S002","Partner inquiry","LOCAL 0574264","synthetic inquiry","none","email provider absent","Chrome; actual viewport not recorded","Fill required fields > Submit inquiry","Failure without receipt","HTTP 200 and false receipt/follow-up/confirmation","candidate-partnership-no-provider-result.txt; POST 200 in preview log","No durable inquiry record","candidate-partnership-no-provider-result.png","FAIL","Local fixture; not production","AUD-001","02d525b PASS S015","Historical evidence; see environment/build and original receipt"
"S003","Returning partner","LOCAL 0574264","signed out","none","dashboard gated","Chrome; actual viewport not recorded","Existing partner access > Sign in > Forgot password","Preserve destination","Dashboard returnTo preserved","candidate-partner-signed-out.txt; candidate-partner-signin-return.txt; candidate-reset-no-session.txt","none","DOM snapshots","PASS BOUNDED","Real login/reset delivery not tested","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S004","Application","LOCAL 0574264","new visitor","none","legal package unavailable","Chrome; actual viewport not recorded","Open apply/review/success","Closed application; no implied save","Closed with supported alternatives","candidate-application-closed.txt; alias-_research_apply_review.txt; alias-_research_apply_success.txt","none","DOM snapshots","PASS BOUNDED","Cannot test real submission while closed","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S005","Application status","LOCAL 0574264","new visitor","none then invalid","public status unavailable","Chrome; actual viewport not recorded","Open status without token; supply invalid token","Neutral request then invalid-link recovery","Both distinct states visible","baseline-_research_apply_status.txt; status-invalid-token.txt","none","DOM snapshots","PASS BOUNDED","No valid expired consumed or approved token fixtures","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S006","Unsafe return destination","LOCAL 0574264","signed out","none","public","Chrome; actual viewport not recorded","Open sign-in with external returnTo","No external continuation","Recovery link omits unsafe destination","signin-external-return-rejected.txt","none","DOM snapshot","OBSERVED","Post-login external redirect not independently exercised","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S007","Account navigation","SYNTHETIC ACCOUNT 0574264","fixture1@preview.invalid","synthetic active","rich but incomplete history","Chrome; viewport not recorded","Sign in > account areas","Bounded source-aware account information","Account sections navigable; unavailable completeness explicit","account-rich-*.txt","Memory fixture","account-support-desktop.png","PASS BOUNDED","Not real authentication persistence or production histories","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S008","Empty account","SYNTHETIC ACCOUNT 0574264","fixture2@preview.invalid","synthetic active","empty/partial","Chrome; viewport not recorded","Navigate account histories and direct partner dashboard","No fabricated history or relationship","Unavailable/empty distinctions; no partner attached","account-empty-*.txt","Memory fixture","DOM snapshots","PASS BOUNDED","Fixture schemas only","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S009","Paused account","SYNTHETIC ACCOUNT 0574264","inactive@preview.invalid","synthetic paused","inactive","Chrome; viewport not recorded","Sign in","Do not reopen account","Inactive-access explanation","account-paused-signin.txt","Memory fixture","DOM snapshot","PASS BOUNDED","Not production identity","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S010","Account support","SYNTHETIC ACCOUNT 0574264","fixture1@preview.invalid","active","memory writer","Chrome; viewport not recorded","Submit synthetic support > inspect case > sign out","Receipt linked to recorded case; signout","Case visible and public return after signout","account-rich-support-result.txt; account-signout-result.txt","Synthetic memory case; epoch clock","DOM snapshots","PASS BOUNDED","No durable DB/email proof; fixture date is not production finding","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S011","Care public and clinical gates","LOCAL 0574264","signed out","none","Care unavailable","Chrome; viewport not recorded","Visit Care public and clinical entry routes","Unavailable without clinical authority","Explicit unavailable/disabled/draft states","baseline-_care*.txt","none","DOM snapshots","OBSERVED","Request persistence clinical handoff and transitions NOT RUN","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S012","Admin signed out","LOCAL 0574264","signed out","none","protected queues","Chrome; viewport not recorded","Open all static admin routes","No records/actions without admin","Admin form or sign-in alert","signedout-_admin*.txt","none","DOM snapshots","PASS BOUNDED","Loading and authorized queue states not exhaustively covered","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S013","Admin question reply and wrong role","NATIVE SYNTHETIC 0574264","admin@preview.invalid then other@preview.invalid","synthetic actual guard","seeded question","Chrome; viewport not recorded","Admin login > queue > detail > reply > signout > other login","Allow configured admin; deny other role","Answer recorded; other denied","admin-fixture-*.txt; diagnostic externalMutations=0 notificationIntents=1","One memory notification intent","DOM snapshots","PASS BOUNDED","Not production founder; other queue mutations NOT RUN","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S014","Access hub responsive and keyboard sample","LOCAL 0574264","signed out","none","public","Chrome; measured 390x844 768x1024 1440x1000","Inspect layouts; Tab from gateway link","No horizontal overflow; visible focus","Measured 390 and 1440 no overflow; disclosure gets outline","access-hub-actual*.png","none","access-hub-actual390.png; access-hub-actual768.png; access-hub-actual1440.png","PASS SAMPLE","Not full site responsive zoom keyboard audit; version not recorded","","Unchanged flow","Historical evidence; see environment/build and original receipt"
"S015","Inquiry provider unavailable retest","LOCAL REPAIR 02d525b","audit@example.invalid","none","no provider","Chrome; viewport not recorded","Submit same synthetic inquiry","No false receipt; preserve draft","503 and truthful alert with details retained","repair-no-provider-result.txt","none","repair-no-provider-result.png","PASS","Does not prove live provider delivery","AUD-001","02d525b exact built bundle","Historical evidence; see environment/build and original receipt"
"S016","Inquiry accepted retest","CAPTURE REPAIR 02d525b","audit@example.invalid","none","synthetic team+reply acceptance","Chrome; viewport not recorded","Submit inquiry","Accepted-for-delivery wording","Team and courtesy acceptance correctly described","repair-synthetic-accepted.txt; synthetic-contact-log.txt","Synthetic acceptance IDs only","DOM snapshot","PASS SYNTHETIC","All outbound sockets blocked; no inbox delivery","AUD-001","02d525b exact built bundle","Historical evidence; see environment/build and original receipt"
"S017","Courtesy rejection retest","CAPTURE REPAIR 02d525b","courtesy-fail@example.invalid","none","team accepted courtesy rejected","Chrome; viewport not recorded","Submit inquiry","Accepted inquiry; no duplicate prompt","Do not resubmit; confirmation unconfirmed","repair-synthetic-courtesy-failure.txt; synthetic-contact-log.txt","Synthetic acceptance ID","repair-synthetic-courtesy-failure.png","PASS SYNTHETIC","No actual provider event or durable queue","AUD-001","02d525b exact built bundle","Historical evidence; see environment/build and original receipt"
