claim_id,claim,intended_page,source,evidence_level,status,final_approved_wording,owner
C-001,"Premium peptides, guided by licensed clinicians (category line)",/ hero,Samuel concept via System Labs reference,External reference + inference,do not publish,"(none) - use D-03 wording",Samuel
C-002,"Clinician-guided Care and research-grade products (proposed H1)",/ hero,This lane (D-03),Inference,founder approval required,"PENDING D-03; 'research-grade' also needs operations verification of documentation (C-009)",Samuel
C-003,Care is available in your state,"/care, /faq",Live copy defers to after request (Faq.tsx:38-42),Source inspection,operations verification required,"Care availability depends on your state; we confirm it after your request.",Operations
C-004,A licensed clinician makes every medical decision in Care,"/care, /practices/care, product pages",CarePublicPages.tsx:142; transcript,Source inspection (copy only); PROVIDER_READINESS shows no clinician provider ready,clinical review required,"PENDING clinical lead confirmation that a licensed clinician reviews every Care case",Clinical lead
C-005,A U.S.-based state-licensed compounding pharmacy dispenses and ships Care prescriptions,"/care, /health, /faq",CarePublicPages.tsx:147; Gateway.tsx:9-17; Faq.tsx:47-52,Source inspection; not verified (PROVIDER_READINESS),operations verification required,"Remove until verified; then 'Prescriptions, if any, are filled by a licensed pharmacy.'",Operations + counsel
C-006,Three named medical directors oversee/sign off on orders,"/about, /quality",Compass transcript 00:12:17-00:13:17,Stakeholder statement,do not publish,"(none) until Q-08 answered",Samuel + counsel
C-007,All medical compound orders are approved by medical directors,/care,Gemini summary (overstates transcript),Stakeholder statement,do not publish,"(none) - Research orders are not clinician-reviewed",Samuel
C-008,Products are third-party tested where applicable,"/research/testing, /quality",TestingPage.tsx:31; quality/content.ts:27,Source inspection; zero vendor COA responses,operations verification required,"Remove until lot evidence exists",Operations
C-009,Each lot has a record; if a certificate of analysis exists for your lot you can view it,"/quality, product pages",Lot lookup API exists (public-lot-api.ts),Source inspection,operations verification required,"PENDING: confirm at least the listed products have lot records",Operations
C-010,Ships within 72 hours after payment verification,"EA pages, status, emails",fulfillment-copy.ts:14-15; customer-status.ts:18; communications.ts:324-356,Source inspection; supplier unverified,operations verification required,"Remove; use 'We'll email tracking when your order ships.'",Operations
C-011,"Catalog size (393 SKUs / 114 peptides / 420 products)","/, /products",Compass transcript; dataset,Stakeholder statement vs repo (conflicting counts),do not publish,"(none)",Samuel
C-012,Care replies typically within one business day,"/care, Care confirmation, Care email",CareAccessRequestForm.tsx:91-253; manual-access.ts:200-213,Source inspection; no SLA evidence,founder approval required,"Remove; use 'Our team will contact you using the method you chose.'",Samuel + Care ops
C-013,No response time is promised for inquiries,"/contact, practice/partner confirmations",contact-delivery repair; audit no-response-time contract,Source + audit evidence,verified,"We don't promise a response time.",—
C-014,Customer/patient counts,any,None (System Labs figure mentioned on call),External reference,do not publish,"(none)",—
C-015,First-Month Foundations Plan at $30/month created by a CSCS,"/care, /health",CarePublicPages.tsx:155-160; Gateway.tsx:10,Source inspection; no commerce authority,founder approval required,"Remove unless Samuel confirms offer, price and delivery",Samuel
C-016,Product prices shown on cards,"/products, product pages",FOUNDER_PRICE_BOOK_2026-08-16 + PRICE_RELEASE_2026-08-19 (member audience),Source inspection (approved August member prices); September candidates pending,founder approval required,"PENDING D-05 per product",Samuel
C-017,Product format (e.g., lyophilized powder in a vial),product pages,Variant labels; transcript (vials),Source inspection (label) + stakeholder,operations verification required,"PENDING per product; show only the variant label until verified",Operations
C-018,Research products are for research use only and not for human consumption / not treatment instructions,"product pages, /research, order flow",Research Use Policy gate (EarlyAccessAgreementSection.tsx); customer-projection.ts,Source inspection,counsel required,"Use the current approved Research Use Policy wording verbatim; attach to every Research product (fixes CUX-09)",Counsel
C-019,A Research account or order never grants Care eligibility,"/research, /care, /faq",CarePublicPages.tsx:252; order-entry.ts,Source inspection,verified,"Ordering research products doesn't give you access to Care. Care starts with its own request.",—
C-020,It is free to submit a Care request,/care,Form has no payment step,Source inspection,verified,"Submitting a Care request is free.",—
C-021,Creating an account is free,"/faq, /practices",Transcript (Seth); no signup fee in current EA flow,Source inspection + stakeholder,operations verification required,"PENDING ops confirmation: 'Creating an account is free.'",Operations
C-022,Consultation with a provider is free,"/care",Transcript ('right now it's no cost'),Stakeholder statement,do not publish,"(none) until D-06",Samuel
C-023,Payment is verified by a person before your order is released,"/research, order confirmation, /faq",payment-contract.ts (paid only by processor or named admin),Source inspection + audit evidence,verified,"We confirm your payment by hand before we release your order.",—
C-024,The public Care form is not a medical intake; don't send health details,"/care/schedule, confirmation",CarePublicPages.tsx:127,Source inspection,verified,"This request isn't a medical intake. Please don't include health details here.",—
C-025,Your practice earns commission on eligible orders from clients you refer,"/practices, /partners",Transcript; draft configs (inactive),Stakeholder + draft source,founder approval required,"PENDING D-07",Samuel + counsel
C-026,Commission rates (20% first order; 7.5% or 15% repeat),none,affiliate-program/config.ts; draft-schedule.ts,Source inspection (conflicting drafts),do not publish,"(agreement only)",Samuel
C-027,Payout timing (monthly / weekly statements / biweekly Friday),none publicly,Transcript vs config.ts,Conflicting sources,do not publish,"(agreement only)",Samuel
C-028,Your client stays your client (client ownership),"/practices",Transcript 00:31:53,Stakeholder (founder verbal promise),founder approval required,"PENDING D-09",Samuel
C-029,Practices cannot place orders on behalf of clients,"/practices/workspace, FAQ",account-identity/service.ts (no such capability),Source inspection,founder approval required,"PENDING D-08: 'Your practice account doesn't place orders for clients. Each client creates their own account and accepts the research-use terms themselves.'",Samuel
C-030,Practice dashboard shows referrals and commission; client names only with client consent; Care info never shared without written authorization,"/practices/workspace",partners/portal.ts (counts only),Source inspection + inference,founder approval required,"PENDING D-10",Samuel + counsel
C-031,Your referral link/code attributes clients to your practice,"/practices/referrals",Referral V1 + xr_aff cookie (dark),Source inspection (implemented but off),operations verification required,"PENDING Referral V1 go-live; until then 'Referral links are issued after approval.'",Engineering + Samuel
